SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
201215_prhugo_6dplug_910_3Ddrift_RFP_28-32_spots.csv,211,16,RFP,PR,,13.1875
201215_prhugo_6dplug_910_3Ddrift_RFP_33-41_spots.csv,174,16,RFP,PR,,10.875
201215_prhugo_6dplug_910_3Ddrift_YFP_23-29_spots.csv,85,16,YFP,PR,,5.3125
201215_prhugo_6dplug_910_3Ddrift_YFP_30-36_spots.csv,114,16,YFP,PR,,7.125
201215_prhugo_6dplug_910_3Ddrift_YFP_37-43_spots.csv,100,16,YFP,PR,,6.25
201221_prhugo903_notpreg_CFP_15-24_spots.csv,85,13,CFP,PR,,6.538461538461538
201221_prhugo903_notpreg_CFP_25-32_spots.csv,121,13,CFP,PR,,9.307692307692308
201221_prhugo903_notpreg_CFP_33-49_spots.csv,78,13,CFP,PR,,6.0
201221_prhugo903_notpreg_RFP_1-23_spots.csv,143,13,RFP,PR,,11.0
201221_prhugo903_notpreg_RFP_24-28_spots.csv,216,13,RFP,PR,,16.615384615384617
201221_prhugo903_notpreg_RFP_29-33_spots.csv,230,13,RFP,PR,,17.692307692307693
201221_prhugo903_notpreg_RFP_34-40_spots.csv,175,13,RFP,PR,,13.461538461538462
201221_prhugo903_notpreg_RFP_41-50_spots.csv,103,13,RFP,PR,,7.923076923076923
201221_prhugo903_notpreg_YFP_15-26_spots.csv,13,13,YFP,PR,,1.0
201221_prhugo903_notpreg_YFP_27-34_spots.csv,13,12,YFP,PR,,1.0833333333333333
201221_prhugo903_notpreg_YFP_35-61_spots.csv,10,10,YFP,PR,,1.0
201222_prhugo881_6dpreg_3Ddrift2_CFP_16-30_spots.csv,37,23,CFP,PR,,1.608695652173913
201222_prhugo881_6dpreg_3Ddrift2_CFP_51-68_spots.csv,40,23,CFP,PR,,1.7391304347826086
201222_prhugo881_6dpreg_3Ddrift2_RFP_17-27_spots.csv,57,23,RFP,PR,,2.4782608695652173
201222_prhugo881_6dpreg_3Ddrift2_RFP_45-52_spots.csv,101,23,RFP,PR,,4.391304347826087
201222_prhugo881_6dpreg_3Ddrift2_RFP_53-59_spots.csv,122,23,RFP,PR,,5.304347826086956
201222_prhugo881_6dpreg_3Ddrift2_RFP_60-68_spots.csv,103,23,RFP,PR,,4.478260869565218
201222_prhugo881_6dpreg_3Ddrift2_RFP_69-85_spots.csv,57,23,RFP,PR,,2.4782608695652173
201222_prhugo881_6dpreg_3Ddrift2_RFP_bud28-35_spots.csv,32,19,RFP,PR,,1.6842105263157894
201222_prhugo881_6dpreg_3Ddrift2_YFP_20-35_spots.csv,68,23,YFP,PR,,2.9565217391304346
201222_prhugo881_6dpreg_3Ddrift2_YFP_45-55_spots.csv,194,23,YFP,PR,,8.434782608695652
201222_prhugo881_6dpreg_3Ddrift2_YFP_56-60_spots.csv,152,23,YFP,PR,,6.608695652173913
201222_prhugo881_6dpreg_3Ddrift2_YFP_61-68_spots.csv,176,23,YFP,PR,,7.6521739130434785
201222_prhugo881_6dpreg_3Ddrift2_YFP_69-82_spots.csv,38,21,YFP,PR,,1.8095238095238095
201222_prhugo889_6dpreg_3Ddrift_CFP_21-30_spots.csv,108,38,CFP,PR,,2.8421052631578947
201222_prhugo889_6dpreg_3Ddrift_CFP_31-36_spots.csv,76,38,CFP,PR,,2.0
201222_prhugo889_6dpreg_3Ddrift_CFP_37-55_spots.csv,75,35,CFP,PR,,2.142857142857143
201222_prhugo889_6dpreg_3Ddrift_RFP_19-25_spots.csv,128,38,RFP,PR,,3.3684210526315788
201222_prhugo889_6dpreg_3Ddrift_RFP_26-33_spots.csv,307,38,RFP,PR,,8.078947368421053
201222_prhugo889_6dpreg_3Ddrift_RFP_34-38_spots.csv,259,38,RFP,PR,,6.815789473684211
201222_prhugo889_6dpreg_3Ddrift_RFP_39-43_spots.csv,309,38,RFP,PR,,8.131578947368421
201222_prhugo889_6dpreg_3Ddrift_RFP_44-48_spots.csv,504,38,RFP,PR,,13.263157894736842
201222_prhugo889_6dpreg_3Ddrift_RFP_49-56_spots.csv,309,38,RFP,PR,,8.131578947368421
201222_prhugo889_6dpreg_3Ddrift_RFP_57-68_spots.csv,245,38,RFP,PR,,6.447368421052632
201222_prhugo889_6dpreg_3Ddrift_RFP_69-87_spots.csv,100,37,RFP,PR,,2.7027027027027026
201222_prhugo889_6dpreg_3Ddrift_RFP_bud30-36_spots.csv,126,38,RFP,PR,,3.3157894736842106
201222_prhugo889_6dpreg_3Ddrift_RFP_bud37-42_spots.csv,165,38,RFP,PR,,4.342105263157895
201222_prhugo889_6dpreg_3Ddrift_YFP_bud25-40_spots.csv,93,38,YFP,PR,,2.4473684210526314
